Year,Country of residence,Origin,Refugees,Total Population
2000,Canada,Lithuania,10.0,66
2000,Canada,Madagascar,5.0,9
2000,Canada,Malawi,16.0,16
2000,Canada,Malaysia,35.0,146
2000,Canada,Maldives,2.0,3
2000,Canada,Mali,33.0,70
2000,Canada,Malta,12.0,16
2000,Canada,Mauritania,15.0,38
2000,Canada,Mauritius,,3
2000,Canada,Mexico,811.0,1967
2000,Canada,Mongolia,4.0,25
2000,Canada,Morocco,55.0,94
2000,Canada,Mozambique,3.0,4
2000,Canada,Myanmar,391.0,402
2000,Canada,Namibia,,3
2000,Canada,Nepal,28.0,47
2000,Canada,Netherlands,14.0,22
2000,Canada,Nicaragua,192.0,225
2000,Canada,Niger,9.0,14
2000,Canada,Nigeria,852.0,1647
2000,Canada,Norway,2.0,2
2000,Canada,Oman,3.0,3
2000,Canada,Pakistan,3893.0,6388
2000,Canada,Palestinian,26.0,86
2000,Canada,Panama,21.0,26
2000,Canada,Paraguay,5.0,8
2000,Canada,Peru,778.0,1151
2000,Canada,Philippines,23.0,126
2000,Canada,Poland,155.0,495
2000,Canada,Portugal,7.0,63
2000,Canada,Qatar,,5
2000,Canada,Rep. of Korea,26.0,291
2000,Canada,Rep. of Moldova,234.0,298
2000,Canada,Romania,572.0,983
2000,Canada,Russian Federation,1694.0,2359
2000,Canada,Rwanda,1118.0,1341
2000,Canada,Saint Kitts and Nevis,,1
2000,Canada,Saint Lucia,7.0,28
2000,Canada,Saint Vincent and the Grenadines,48.0,126
2000,Canada,Sao Tome and Principe,2.0,2
2000,Canada,Saudi Arabia,26.0,58
2000,Canada,Senegal,58.0,78
2000,Canada,Serbia and Kosovo (S/RES/1244 (1999)),6632.0,7246
2000,Canada,Sierra Leone,335.0,417
2000,Canada,Singapore,6.0,8
2000,Canada,Slovakia,8.0,60
2000,Canada,Slovenia,69.0,71
2000,Canada,Solomon Islands,,3
2000,Canada,Somalia,5159.0,5714
2000,Canada,South Africa,26.0,62
2000,Canada,Spain,44.0,55
2000,Canada,Sri Lanka,10591.0,12783
2000,Canada,Stateless,627.0,627
2000,Canada,Sudan,2968.0,3300
2000,Canada,Suriname,,1
2000,Canada,Swaziland,16.0,18
2000,Canada,Sweden,17.0,17
2000,Canada,Switzerland,69.0,69
2000,Canada,Syrian Arab Rep.,390.0,488
2000,Canada,Tajikistan,113.0,116
2000,Canada,Thailand,107.0,117
2000,Canada,The former Yugoslav Republic of Macedonia,45.0,71
2000,Canada,Tibetan,4.0,4
2000,Canada,Togo,118.0,147
2000,Canada,Trinidad and Tobago,14.0,76
2000,Canada,Tunisia,68.0,176
2000,Canada,Turkey,765.0,1496
2000,Canada,Turkmenistan,1.0,3
2000,Canada,Uganda,89.0,194
2000,Canada,Ukraine,547.0,1100
2000,Canada,United Arab Emirates,7.0,15
2000,Canada,United Kingdom,32.0,40
2000,Canada,United Rep. of Tanzania,24.0,216
2000,Canada,United States of America,148.0,234
2000,Canada,Uruguay,33.0,174
2000,Canada,Uzbekistan,108.0,151
2000,Canada,Various/Unknown,15452.0,15453
2000,Canada,Venezuela (Bolivarian Republic of),407.0,534
2000,Canada,Viet Nam,155.0,240
2000,Canada,Yemen,168.0,263
2000,Canada,Zambia,50.0,52
2000,Canada,Zimbabwe,7.0,173
2015,Canada,Afghanistan,2890.0,3258
2015,Canada,Albania,1243.0,1378
2015,Canada,Algeria,355.0,400
2015,Canada,Angola,226.0,235
2015,Canada,Antigua and Barbuda,51.0,58
2015,Canada,Argentina,85.0,91
2015,Canada,Armenia,180.0,183
2015,Canada,Australia,6.0,6
2015,Canada,Austria,,1
2015,Canada,Azerbaijan,291.0,311
2015,Canada,Bahamas,31.0,78
2015,Canada,Bahrain,15.0,22
2015,Canada,Bangladesh,1112.0,1316
2015,Canada,Barbados,95.0,111
2015,Canada,Belarus,182.0,185
2015,Canada,Belgium,16.0,28
2015,Canada,Belize,10.0,11
2015,Canada,Benin,46.0,54
2015,Canada,Bhutan,22.0,23
2015,Canada,Bolivia (Plurinational State of),105.0,109
2015,Canada,Bosnia and Herzegovina,64.0,64
2015,Canada,Botswana,284.0,284
2015,Canada,Brazil,124.0,154
2015,Canada,Bulgaria,432.0,436
2015,Canada,Burkina Faso,124.0,135
2015,Canada,Burundi,2074.0,2260
2015,Canada,Cambodia,153.0,155
2015,Canada,Cameroon,1103.0,1229
2015,Canada,Central African Rep.,53.0,59
2015,Canada,Chad,415.0,482
2015,Canada,Chile,102.0,120
2015,Canada,China,11415.0,12483
2015,Canada,"China, Hong Kong SAR",28.0,32
2015,Canada,Colombia,13666.0,14123
2015,Canada,Comoros,3.0,3
2015,Canada,Congo,201.0,261
2015,Canada,Costa Rica,190.0,192
2015,Canada,Croatia,96.0,116
2015,Canada,Cuba,1512.0,1558
2015,Canada,Cyprus,,2
2015,Canada,Czech Rep.,259.0,344
2015,Canada,Cote d'Ivoire,398.0,420
2015,Canada,Dem. People's Rep. of Korea,126.0,128
2015,Canada,Dem. Rep. of the Congo,3316.0,3535
2015,Canada,Denmark,6.0,6
2015,Canada,Djibouti,350.0,396
2015,Canada,Dominica,18.0,18
2015,Canada,Dominican Rep.,172.0,187
2015,Canada,Ecuador,176.0,180
2015,Canada,Egypt,752.0,851
2015,Canada,El Salvador,1403.0,1510
2015,Canada,Equatorial Guinea,8.0,8
2015,Canada,Eritrea,1811.0,1960
2015,Canada,Estonia,10.0,10
2015,Canada,Ethiopia,2047.0,2253
2015,Canada,Fiji,127.0,127
2015,Canada,Finland,3.0,4
2015,Canada,France,42.0,51
2015,Canada,Gabon,47.0,49
2015,Canada,Gambia,82.0,99
2015,Canada,Georgia,449.0,546
2015,Canada,Germany,81.0,82
2015,Canada,Ghana,301.0,380
2015,Canada,Greece,24.0,33
2015,Canada,Grenada,239.0,244
2015,Canada,Guatemala,935.0,972
2015,Canada,Guinea,648.0,680
2015,Canada,Guinea-Bissau,15.0,21
2015,Canada,Guyana,391.0,422
2015,Canada,Haiti,8807.0,9012
2015,Canada,Honduras,889.0,969
2015,Canada,Hungary,973.0,1570
2015,Canada,India,3712.0,4050
2015,Canada,Indonesia,308.0,321
2015,Canada,Iran (Islamic Rep. of),2639.0,2746
2015,Canada,Iraq,1892.0,2267
2015,Canada,Ireland,4.0,10
2015,Canada,Israel,494.0,513
2015,Canada,Italy,18.0,60
2015,Canada,Jamaica,813.0,933
2015,Canada,Japan,23.0,27
2015,Canada,Jordan,383.0,447
2015,Canada,Kazakhstan,114.0,127
2015,Canada,Kenya,815.0,857
2015,Canada,Kiribati,2.0,2
2015,Canada,Kuwait,38.0,41
2015,Canada,Kyrgyzstan,82.0,102
2015,Canada,Lao People's Dem. Rep.,5.0,5
2015,Canada,Latvia,62.0,62
2015,Canada,Lebanon,867.0,993
2015,Canada,Lesotho,6.0,6
2015,Canada,Liberia,139.0,144
2015,Canada,Libya,230.0,485
2015,Canada,Lithuania,62.0,62
2015,Canada,Madagascar,16.0,18
2015,Canada,Malawi,29.0,31
2015,Canada,Malaysia,91.0,93
2015,Canada,Maldives,1.0,1
2015,Canada,Mali,74.0,158
2015,Canada,Mauritania,248.0,281
2015,Canada,Mauritius,3.0,8
2015,Canada,Mexico,6414.0,6471
2015,Canada,Mongolia,131.0,149
2015,Canada,Montenegro,21.0,24
2015,Canada,Morocco,167.0,192
2015,Canada,Mozambique,6.0,7
2015,Canada,Myanmar,223.0,226
2015,Canada,Namibia,282.0,283
2015,Canada,Nepal,1304.0,1379
2015,Canada,Netherlands,44.0,46
2015,Canada,New Zealand,1.0,1
2015,Canada,Nicaragua,142.0,146
2015,Canada,Niger,85.0,89
2015,Canada,Nigeria,4502.0,5125
2015,Canada,Norway,2.0,6
2015,Canada,Oman,13.0,13
2015,Canada,Pakistan,7207.0,7753
2015,Canada,Palestinian,534.0,630
2015,Canada,Panama,39.0,46
2015,Canada,Paraguay,42.0,42
2015,Canada,Peru,1080.0,1107
2015,Canada,Philippines,277.0,291
2015,Canada,Poland,175.0,190
2015,Canada,Portugal,9.0,17
2015,Canada,Qatar,6.0,6
2015,Canada,Rep. of Korea,174.0,186
2015,Canada,Rep. of Moldova,179.0,182
2015,Canada,Romania,334.0,338
2015,Canada,Russian Federation,1178.0,1245
2015,Canada,Rwanda,1620.0,1667
2015,Canada,Saint Kitts and Nevis,20.0,25
2015,Canada,Saint Lucia,992.0,1007
2015,Canada,Saint Vincent and the Grenadines,1778.0,1810
2015,Canada,San Marino,1.0,1
2015,Canada,Saudi Arabia,101.0,129
2015,Canada,Senegal,241.0,268
2015,Canada,Serbia and Kosovo (S/RES/1244 (1999)),398.0,435
2015,Canada,Seychelles,9.0,13
2015,Canada,Sierra Leone,121.0,129
2015,Canada,Singapore,27.0,32
2015,Canada,Slovakia,63.0,565
2015,Canada,Slovenia,9.0,9
2015,Canada,Solomon Islands,39.0,39
2015,Canada,Somalia,2531.0,2944
2015,Canada,South Africa,52.0,73
2015,Canada,South Sudan,,2
2015,Canada,Spain,25.0,33
2015,Canada,Sri Lanka,8807.0,8966
2015,Canada,Stateless,1503.0,1627
2015,Canada,Sudan,509.0,568
2015,Canada,Suriname,8.0,8
2015,Canada,Swaziland,134.0,134
2015,Canada,Sweden,3.0,6
2015,Canada,Switzerland,11.0,11
2015,Canada,Syrian Arab Rep.,1513.0,1748
2015,Canada,Tajikistan,53.0,58
2015,Canada,Thailand,33.0,42
2015,Canada,The former Yugoslav Republic of Macedonia,92.0,93
2015,Canada,Tibetan,58.0,58
2015,Canada,Togo,188.0,207
2015,Canada,Trinidad and Tobago,243.0,255
2015,Canada,Tunisia,199.0,225
2015,Canada,Turkey,1991.0,2239
2015,Canada,Turkmenistan,18.0,18
2015,Canada,Uganda,713.0,767
2015,Canada,Ukraine,1314.0,1550
2015,Canada,United Arab Emirates,29.0,32
2015,Canada,United Kingdom,60.0,60
2015,Canada,United Rep. of Tanzania,257.0,282
2015,Canada,United States of America,4573.0,4664
2015,Canada,Uruguay,73.0,74
2015,Canada,Uzbekistan,271.0,296
2015,Canada,Vanuatu,,1
2015,Canada,Various/Unknown,88.0,8494
2015,Canada,Venezuela (Bolivarian Republic of),729.0,902
2015,Canada,Viet Nam,114.0,118
2015,Canada,Yemen,215.0,296
2015,Canada,Zambia,48.0,50
2015,Canada,Zimbabwe,2368.0,2411
